Date,Open,High,Low,Close
03/05/2023,"20.4200","21.6800","20.3400","21.1800"
03/04/2023,"21.3100","21.6000","20.2300","20.4200"
03/03/2023,"22.0500","22.1400","20.4300","21.3100"
03/02/2023,"22.4200","22.6500","21.6700","22.0500"
03/01/2023,"21.8700","22.8900","21.6800","22.4200"
02/28/2023,"22.7100","22.7700","21.7900","21.9000"
02/27/2023,"23.2600","23.4000","22.3200","22.7000"
02/26/2023,"21.7700","23.5000","21.7700","23.2600"
02/25/2023,"22.8200","23.3100","21.4400","21.7700"
02/24/2023,"23.7700","24.1500","22.5500","22.8200"
02/23/2023,"23.7100","24.6900","23.5900","23.7800"
02/22/2023,"24.7600","25.1100","23.2100","23.7500"
02/21/2023,"26.1300","26.5900","24.5200","24.8000"
02/20/2023,"25.2000","27.0600","24.1800","26.1300"
02/19/2023,"23.5700","25.3500","23.2400","25.2000"
02/18/2023,"23.1800","23.8700","22.7400","23.5700"
02/17/2023,"22.9800","23.5400","22.0500","23.2100"
02/16/2023,"23.5200","24.1300","22.8600","22.9800"
02/15/2023,"21.7500","23.8800","21.4700","23.5200"
02/14/2023,"20.3200","22.3200","20.2400","21.7500"
02/13/2023,"21.3600","21.7200","19.7600","20.3200"
02/12/2023,"20.6700","22.3900","20.6100","21.3700"
02/11/2023,"20.2200","20.6800","19.7000","20.6500"
02/10/2023,"21.2800","21.3400","20.0300","20.2300"
02/09/2023,"23.1500","23.3200","21.0600","21.3000"
02/08/2023,"23.5900","24.2000","22.8100","23.1500"
02/07/2023,"23.0400","23.8300","22.5000","23.5900"
02/06/2023,"23.4000","23.7200","22.8200","23.0400"
02/05/2023,"24.6100","24.7300","23.0500","23.4000"
02/04/2023,"24.5000","24.9300","24.3100","24.6100"
02/03/2023,"24.1700","25.0500","24.0300","24.5100"
02/02/2023,"24.8100","26.1000","24.1500","24.1500"
02/01/2023,"23.8200","25.0400","22.5100","24.8400"
01/31/2023,"23.8000","24.4800","23.4900","23.8200"
01/30/2023,"26.3600","26.4800","23.3100","23.8100"
01/29/2023,"23.9000","26.7400","23.7400","26.3600"
01/28/2023,"24.3700","25.1400","23.7400","23.9000"
01/27/2023,"24.4500","24.9400","23.2800","24.3700"
01/26/2023,"25.0400","25.4200","23.9000","24.4500"
01/25/2023,"23.9300","25.0300","22.2800","24.9400"
01/24/2023,"24.3100","25.2100","23.7200","23.9600"
01/23/2023,"24.2200","24.9000","23.8500","24.3100"
01/22/2023,"25.6100","25.6100","23.6600","24.2200"
01/21/2023,"24.3200","26.4400","24.3200","25.5700"
01/20/2023,"21.3500","24.4700","20.9500","24.2600"
01/19/2023,"21.3300","21.8500","20.4500","21.3500"
01/18/2023,"23.2800","23.6200","20.3900","21.3200"
01/17/2023,"23.6600","24.2000","22.7900","23.2900"
01/16/2023,"23.3300","24.8400","22.2600","23.6600"
01/15/2023,"22.7300","24.9300","22.0000","23.3000"
01/14/2023,"18.2700","24.4000","17.9200","22.7300"
01/13/2023,"16.4700","18.4500","16.3100","18.2800"
01/12/2023,"15.9100","16.9100","15.6400","16.4500"
01/11/2023,"16.4400","16.4400","15.3000","15.9100"
01/10/2023,"16.3500","16.7100","15.5800","16.4500"
01/09/2023,"13.7200","17.3800","13.6800","16.3600"
01/08/2023,"13.1700","13.9400","12.8600","13.7200"
01/07/2023,"13.2700","13.5800","13.1300","13.1900"
01/06/2023,"13.5400","13.5600","12.7300","13.2700"
01/05/2023,"13.1400","13.8500","12.9500","13.5400"
01/04/2023,"13.2500","14.1500","12.8300","13.1200"
01/03/2023,"11.3800","13.8100","11.0200","13.2700"
01/02/2023,"9.9700","11.4100","9.8100","11.3800"
01/01/2023,"10.0200","10.0700","9.7000","9.9700"
12/31/2022,"9.8300","10.2200","9.6700","10.0200"
12/30/2022,"8.3600","10.7500","8.3400","9.8200"
12/29/2022,"9.6000","9.8600","8.0800","8.4000"
12/28/2022,"10.9800","11.1400","9.4600","9.6000"
12/27/2022,"11.2100","11.4200","10.7100","10.9800"
12/26/2022,"11.4300","11.4800","11.1100","11.2100"
12/25/2022,"11.3800","11.5500","11.2500","11.4300"
12/24/2022,"11.8400","11.8400","11.1900","11.3800"
12/23/2022,"11.8500","12.0900","11.6700","11.8400"
12/22/2022,"12.0600","12.2000","11.6800","11.8500"
12/21/2022,"12.2800","12.3200","11.8900","12.0600"
12/20/2022,"12.0300","12.4800","11.6600","12.2800"
12/19/2022,"12.4200","12.6000","11.9300","12.0300"
12/18/2022,"12.2900","12.5900","12.2600","12.4200"
12/17/2022,"12.9100","12.9200","11.9500","12.2900"
